Project name,Classname,Line,Bugyy code,Fixed code,Type,Ratio (FL),Bug Type,,Fixed,Context,,Th“?ng kˆ,,
82260,Move,(6-6;5-6),"    private int endY;
","    private int endY;
    private Piece movedPiece;
",INSERT,null,INSERT_VAR,,YES,PACKAGE,,CHANGE_OPERATOR,12,"VD var -1, ?“?i + tha?nh -"
82260,Move,(20-20;17-18),"        this.movedPiece = movedPiece;
","        this.movedPiece = movedPiece;

",INSERT,null,,,NO,,,REPLACE_VAR,44,Thay ?“?i
82260,Move,(25-25;23-32),"     */
","     */
    public Move(int startX, int endX, int startY, int endY, Piece movedPiece, Piece killedPiece) {
        this.startX = startX;
        this.startY = startY;
        this.endX = endX;
        this.endY = endY;
        this.movedPiece = movedPiece;
        this.killedPiece = killedPiece;
    }

",INSERT,null,,,NO,,,INIT_CONSTRUCT,9,"Kh??i ta?i biˆ?n, kh??i ta?o super (1)"
82260,Move,(81-81;88-102),"     */
","     */
    public Piece getMovedPiece() {
        return movedPiece;
    }

    /**
     * Javadoc Comment.
     */
    public void setMovedPiece(Piece movedPiece) {
        this.movedPiece = movedPiece;
    }

    /**
     * Javadoc Comment.
     */
",INSERT,null,,,NO,,,INSERT_VAR,4,
82260,Move,(120-121;118-119),"        String color = movedPiece.getColor();
        char endX = (char) this.endX;
","        String color = movedPiece.getColor();
        char endX = (char) (this.endX - 1);
",REPLACE,0.35355338,CHANGE_OPERATOR,,YES,NO,,INSERT_CODE,44,
83462,Move,(96-97;96-97),"        String a = """";
        int b = movedPiece.getCoordinatesX();
","        String a = """";
        int b = this.endX;
",REPLACE,0.35355338,REPLACE_VAR,LINE,YES,CLASS,,INSERT_KEY,2,"Break, return"
83462,Move,(114-116;114-117),"        }
        String s = this.getMovedPiece().getColor() + ""-R""
                + a + movedPiece.getCoordinatesY();
","        }
        String s = this.getMovedPiece().getColor() + ""-""
                + this.getMovedPiece().getSymbol()
                + a + this.endY;
",REPLACE,0.35355338,REPLACE_VAR,LINE,YES,CLASS,,REPLACE_CODE,14,Thay ?“?i 1 ?oa?n code ph??c ta?p
83421,Move,(7-7;5-7),"   private int endY;
","   private int endY;
   private Piece movedPiece;
   private Piece killedPiece;
",INSERT,0.35355338,INSERT_VAR,,YES,PACKAGE,,GEN_STRING,33,"~ test, trim()"
83421,Move,(22-22;21-22),"        this.endY = endY;
","        this.endY = endY;
        this.movedPiece = movedPiece;
",INSERT,0.35355338,INIT_CONSTRUCT,,YES,CLASS,,ADD_CONDITION,11,
83421,Move,(40-40;38-40),"        this.endY = endY;
","        this.endY = endY;
        this.movedPiece = movedPiece;
        this.killedPiece = killedPiece;
",INSERT,null,INIT_CONSTRUCT,,YES,CLASS,,CONVERT,1,Convert char -> String
83421,Piece,(24-24;23-24),"        this.coordinatesX = coordinatesX;
","        this.coordinatesX = coordinatesX;
        this.coordinatesY = coordinatesY;
",INSERT,null,INIT_CONSTRUCT,,YES,CLASS,,REPLACE_METHOD,1,
83421,Piece,(28-29;28-29),"    public int getCoordinatesX() {
        return coordinatesX;
","    public int getCoordinatesX() {
        return this.coordinatesX;
",REPLACE,0.35355338,,,NO,,,CHANGE_PARAMS,1,ÿString fullName = line.substring(tmp); TO
83421,Piece,(36-37;36-37),"    public int getCoordinatesY() {
        return coordinatesY;
","    public int getCoordinatesY() {
        return this.coordinatesY;
",REPLACE,0.35355338,,,NO,,,,,"String fullName = line.substring(0,ÿtmp);"
83421,Piece,(44-45;44-45),"    public String getColor() {
        return color;
","    public String getColor() {
        return this.color;
",REPLACE,0.35355338,,,NO,,,,,
